ID	taxid
TP0028	34305
TP0029	63459
TP0050	63459
TP0051	63459
TP0066	63459
TP0089	2711
TP0091	2768810
TP0093	63459
TP0103	15368
TP0106	4565
TP0109	2711
TP0111	2768810
TP0114	2768810
TP0133	38783
TP0143	3562
TP0149	458696
TP0162	2711
TP0163	2711
TP0164	155640
TP0165	155640
TP0179	325984
TP0197	34305
TP0200	325984
TP0202	325984
TP0205	190884
TP0206	190884
TP0250	32244
TP0258	3562
TP0259	32244
TP0262	458696
TP0267	32244
TP0272	2711
TP0274	155640
TP0275	185493
TP0315	3562
TP0316	32244
TP0317	32244
TP0318	32244
TP0319	32244
TP0320	32244
TP0326	3562
TP0327	32244
TP0328	3562
TP0329	3562
TP0332	32244
TP0333	32244
TP0351	3555
TP0352	63459
TP0354	3847
TP0357	32244
TP0358	32244
TP0364	4236
TP0365	2711
TP0366	155640
TP0367	2711
TP0369	155640
TP0370	155640
TP0371	3562
TP0414	2711
TP0416	155640
TP0417	2711
TP0418	155640
TP0419	155640
TP0420	2711
TP0421	155640
TP0422	2711
TP0436	4081
TP0078	39947
TP0215	48106
TP0283	4054